ID,title,descr,author_ID,stock,price,currency_code,genre_ID
201,Company fill quality,Already against floor difference. House not whether easy. Great land discuss audience allow woman occur. Later message rate parent seek thousand south power. Although card surface position indicate natural government. Save similar I easy reality college thousand.,467,65,77.38,GBP,133aaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa
202,View letter,Left still physical. Third mission truth win. On be last fish.,247,110,81.95,GBP,161aaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa
203,Black lot possible,No condition entire finish that perform. Section direction word I. Not may thousand anyone because out control. Back old natural plant.,666,116,47.18,EUR,15aaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa
204,Too arrive fine,Surface himself him sure get open. Hand cup read. Leave order year better. Catch travel know week husband wear.,813,93,126.26,GBP,1621aaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa
205,Heavy gun answer,Night sure perform above strong party involve land. Value author point yourself. Energy some first relate culture time. Environmental day bed food. Operation same dream happy.,340,36,17.2,EUR,1613aaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa
206,Crime wife,Move pass however ground everyone. Almost staff shake energy. One end agree send friend despite. Perform behavior western evening one next concern. Thousand certainly agent who hope garden deep.,1082,484,8.95,USD,25aaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa
207,Share sport,Eye explain affect mean majority while. Worry note although foot impact. Play there center left character. Whole drug have. Need world dark owner rise ahead off. Imagine check bit.,519,141,152.03,JPY,20aaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa
208,Family run where,Name man certainly above none. Science next each draw agreement water option. Place staff everyone act focus maintain visit. Since kind or great lawyer decision. Skill manager question pattern into personal.,807,300,121.11,JPY,162aaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa
209,Health table type,Hit consumer behind executive owner short trouble choice. Write news stage nation. Late open will fire population.,960,230,108.78,JPY,22aaaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa
210,Who serve full,System throw teacher though magazine race early. Public under happy return late short. On inside strategy protect thank participant middle executive. Food avoid American study read staff. Administration bag perhaps education north hear page future.,618,324,163.6,USD,161aaaaa-aaaa-aaaa-aaaa-aaaaaaaaaaaa
